Name	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205
Cellular Processes	290244.0	318697.0	335969.0	334711.0	350239.0	345090.0	335747.0	362446.0	348879.0	367770.0	321723.0	339944.0	315202.0	347363.0	288443.0	280296.0	385857.0	322848.0	347860.0	402124.0	371827.0	311683.0	343814.0	317010.0	240647.0	286563.0	288901.0	241073.0	278778.0	274377.0	318232.0	245677.0	282417.0	246423.0	329161.0	270821.0	231183.0	212160.0	238977.0	220802.0	259274.0	253728.0	236998.0	287423.0	266796.0	304222.0	284139.0	299492.0	361284.0	387675.0
Environmental Information Processing	981421.0	897425.0	902126.0	941976.0	991251.0	972699.0	905992.0	906902.0	895207.0	1097821.0	936500.0	958212.0	945634.0	1023631.0	792868.0	724940.0	1025158.0	1032389.0	871006.0	960183.0	1066938.0	1082603.0	1047287.0	815689.0	695124.0	759057.0	889467.0	724892.0	729317.0	804930.0	852532.0	860242.0	883892.0	911491.0	909513.0	770519.0	890897.0	836062.0	966146.0	943430.0	749919.0	778154.0	868416.0	856088.0	799004.0	939717.0	766805.0	818455.0	904375.0	909443.0
Genetic Information Processing	2066902.0	2078460.0	2020123.0	2153679.0	2359504.0	2320225.0	2249057.0	2211631.0	2300844.0	2421885.0	2249946.0	2313706.0	2358401.0	2401874.0	1823094.0	1601320.0	2201184.0	2161536.0	2085848.0	2204767.0	2282368.0	2398350.0	2386006.0	1915727.0	1659946.0	1842672.0	1898330.0	1671186.0	1695656.0	1894564.0	1976841.0	2062797.0	2118534.0	2213205.0	2073678.0	1864003.0	2108541.0	1881406.0	2058484.0	2137268.0	1892407.0	2081863.0	2159318.0	2137116.0	1961476.0	2318584.0	1865399.0	1992202.0	2229771.0	2031913.0
Human Diseases	669980.0	690910.0	673577.0	721874.0	740528.0	718509.0	714059.0	703106.0	721485.0	765252.0	738555.0	734654.0	748195.0	764277.0	629594.0	577631.0	729216.0	696094.0	715964.0	765421.0	761831.0	752130.0	812699.0	635169.0	536459.0	584879.0	596135.0	513976.0	560497.0	571588.0	648791.0	625367.0	652832.0	651506.0	701632.0	604811.0	598505.0	553705.0	615749.0	642190.0	571583.0	606168.0	624883.0	642844.0	605189.0	677906.0	598787.0	635071.0	718844.0	678151.0
Metabolism	11027134.0	11296358.0	10715265.0	11594738.0	11606899.0	11130666.0	11260663.0	10566640.0	10643770.0	12280069.0	12302268.0	11871345.0	12045379.0	12417785.0	11161281.0	10214177.0	12312484.0	11859521.0	11893882.0	12445790.0	12477356.0	12290470.0	13483679.0	10703396.0	8421089.0	8956511.0	9806736.0	8768891.0	9381357.0	9347992.0	9690263.0	9607851.0	9851670.0	10225877.0	9917732.0	8946964.0	10118556.0	9218901.0	10305672.0	10383359.0	8847107.0	9449880.0	9872194.0	9398551.0	9347307.0	9594528.0	9536911.0	9405148.0	10606811.0	9496989.0
Organismal Systems	345812.0	361877.0	341807.0	371182.0	397143.0	376469.0	383298.0	364292.0	385154.0	401437.0	398719.0	389853.0	403929.0	407162.0	350319.0	316431.0	387626.0	367945.0	394917.0	411918.0	407606.0	391878.0	425061.0	328717.0	273552.0	291553.0	312205.0	284119.0	298035.0	298836.0	317193.0	332666.0	341566.0	358049.0	343133.0	301810.0	322233.0	293019.0	322021.0	321010.0	292004.0	313609.0	333263.0	318148.0	309952.0	339544.0	298670.0	311467.0	363574.0	337208.0
