Name	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205
Digestive system	11243.0	17325.0	14581.0	17252.0	20976.0	18518.0	18626.0	13778.0	15170.0	16327.0	22469.0	16651.0	19106.0	17265.0	19135.0	19844.0	19653.0	17475.0	23331.0	22446.0	19979.0	17580.0	26381.0	14778.0	10744.0	9900.0	9186.0	9966.0	12874.0	9594.0	9617.0	13744.0	14183.0	17333.0	10770.0	11122.0	20862.0	10368.0	5938.0	8626.0	17985.0	14841.0	14416.0	11517.0	13094.0	6705.0	14572.0	10143.0	13730.0	9241.0
Drug resistance	188201.0	202750.0	197487.0	214930.0	200203.0	193194.0	199348.0	188494.0	196553.0	210996.0	220339.0	207533.0	225074.0	215882.0	175218.0	163089.0	192793.0	194811.0	213245.0	223638.0	221178.0	215652.0	244670.0	188068.0	151706.0	160743.0	163833.0	146229.0	163213.0	163468.0	168326.0	162552.0	172018.0	171320.0	182949.0	168046.0	157276.0	148672.0	165558.0	185691.0	161746.0	178104.0	176507.0	194012.0	183309.0	189114.0	171971.0	177996.0	200618.0	174218.0
Endocrine and metabolic diseases	79666.0	75177.0	72173.0	78613.0	85519.0	83245.0	79192.0	76581.0	79518.0	89832.0	79907.0	82167.0	78238.0	86247.0	68001.0	60035.0	85943.0	81032.0	77522.0	81911.0	84163.0	84955.0	88734.0	65979.0	61635.0	65658.0	65955.0	56483.0	56917.0	59884.0	65398.0	79359.0	78557.0	81147.0	76531.0	67577.0	79378.0	69245.0	75292.0	78026.0	65781.0	67223.0	74283.0	70881.0	68101.0	72535.0	64892.0	72370.0	75342.0	72250.0
Endocrine system	194382.0	192232.0	182489.0	198170.0	214721.0	207857.0	204608.0	197465.0	209439.0	218673.0	209875.0	211700.0	212801.0	219010.0	181182.0	162544.0	209636.0	200893.0	207112.0	216944.0	219551.0	211765.0	225144.0	171894.0	151514.0	162848.0	169734.0	151121.0	153113.0	156511.0	163783.0	183691.0	185944.0	192106.0	184094.0	164021.0	174157.0	160791.0	179284.0	183875.0	161933.0	172243.0	185414.0	176463.0	168384.0	195321.0	161630.0	171309.0	192001.0	176541.0
Energy metabolism	982864.0	987178.0	937210.0	1011769.0	1029255.0	989169.0	988028.0	942296.0	958909.0	1088376.0	1070282.0	1035781.0	1056098.0	1081457.0	922607.0	832609.0	1082350.0	1063967.0	1030909.0	1071686.0	1104690.0	1080637.0	1157856.0	908405.0	728259.0	772916.0	867366.0	765408.0	799671.0	828117.0	855000.0	857905.0	880432.0	912866.0	895512.0	796868.0	909774.0	825800.0	933630.0	892720.0	798566.0	840390.0	886614.0	845554.0	831958.0	883926.0	836613.0	842414.0	932362.0	828808.0
Environmental adaptation	69340.0	72072.0	71536.0	75438.0	80846.0	78754.0	78876.0	85746.0	81868.0	83012.0	78238.0	77124.0	78340.0	81202.0	64670.0	60210.0	87088.0	78630.0	81704.0	90976.0	86636.0	78814.0	80688.0	65996.0	52996.0	60884.0	67984.0	57098.0	59270.0	64374.0	91048.0	61820.0	67436.0	64750.0	82334.0	66270.0	59754.0	56886.0	66336.0	58594.0	59796.0	61560.0	62660.0	65152.0	60312.0	70570.0	65360.0	66302.0	82032.0	90556.0
Enzyme families	117200.0	121322.0	118150.0	125008.0	126550.0	120628.0	123540.0	118998.0	127672.0	129982.0	128724.0	129092.0	133348.0	133914.0	126678.0	117910.0	123290.0	117956.0	128128.0	133908.0	132260.0	133766.0	136874.0	112390.0	88748.0	95966.0	101974.0	93024.0	96092.0	95998.0	100264.0	100508.0	106276.0	111366.0	108918.0	99532.0	99308.0	92564.0	102284.0	102608.0	91156.0	104046.0	104968.0	109918.0	102504.0	107940.0	100232.0	101848.0	124072.0	112414.0
Excretory system	3422.0	6264.0	5489.0	6084.0	6877.0	6373.0	9196.0	7372.0	10134.0	6736.0	6790.0	8561.0	10803.0	8636.0	6553.0	6071.0	4223.0	4441.0	7513.0	6486.0	6783.0	5262.0	6930.0	5810.0	4174.0	4217.0	5869.0	5967.0	9462.0	6254.0	4960.0	7881.0	8078.0	9049.0	8298.0	6379.0	3654.0	4163.0	4959.0	6794.0	3380.0	5746.0	5814.0	6067.0	7073.0	6316.0	4657.0	5450.0	7449.0	6673.0
Folding, sorting and degradation	352430.0	348000.0	337826.0	364212.0	374896.0	369514.0	354090.0	347489.0	353981.0	400292.0	382412.0	377721.0	381593.0	394478.0	321316.0	285051.0	380869.0	369409.0	364830.0	383991.0	391114.0	392359.0	403239.0	323187.0	272737.0	292598.0	309576.0	274290.0	286833.0	292796.0	312869.0	323235.0	335959.0	338852.0	330726.0	297389.0	319811.0	286885.0	323079.0	324758.0	307319.0	317800.0	333984.0	326124.0	310986.0	352223.0	310340.0	317201.0	351716.0	320310.0
Glycan biosynthesis and metabolism	563392.0	731406.0	661848.0	720970.0	654435.0	588172.0	700398.0	615650.0	622495.0	629230.0	829116.0	701079.0	776899.0	753263.0	860518.0	846516.0	764897.0	732029.0	880610.0	879543.0	808135.0	591077.0	917170.0	670229.0	475013.0	467882.0	570902.0	573224.0	694935.0	569879.0	594751.0	411468.0	452901.0	462753.0	495903.0	475093.0	458394.0	486013.0	467725.0	476522.0	455505.0	531103.0	477159.0	474694.0	524439.0	443488.0	626299.0	541595.0	628425.0	494498.0
Immune diseases	5834.0	5816.0	5537.0	5996.0	6214.0	6007.0	5591.0	5502.0	4934.0	6472.0	6405.0	6159.0	6256.0	6134.0	5895.0	5236.0	7964.0	6514.0	5419.0	6420.0	6426.0	6583.0	7809.0	5166.0	4303.0	5517.0	5050.0	4713.0	5040.0	5559.0	5191.0	4960.0	5203.0	4694.0	5202.0	5269.0	5015.0	5698.0	5936.0	7209.0	5390.0	5002.0	4659.0	5145.0	4587.0	6190.0	5777.0	4480.0	5056.0	4556.0
Immune system	31251.0	31138.0	31583.0	31615.0	35831.0	33376.0	32899.0	33193.0	35146.0	37377.0	34428.0	34575.0	37702.0	36592.0	31136.0	26899.0	32128.0	30759.0	31805.0	33601.0	32994.0	36507.0	34831.0	29470.0	24679.0	27158.0	27839.0	25372.0	24565.0	27234.0	27582.0	32138.0	33432.0	35770.0	31899.0	27793.0	29598.0	28116.0	33036.0	29544.0	29016.0	30219.0	32722.0	30747.0	29227.0	35867.0	27982.0	32256.0	34720.0	31241.0
